rank,char,pinyin,pinyin_no_accents,meaning,alternative,alternative2,trad1,trad2
1110,洗,Xiǎn,Xian,"<family name>",,,,
1111,休,xiū,xiu,"stop, (=休息 xiūxi) rest; 退休 retire; 休养所 rest home",,,,
1112,迫,pò,po,"compel; 压迫 yāpò oppress; 被迫 bèipò be compelled",,,,
1112,迫,pǎi,pai,"迫击炮 pǎijīpào mortar",,,,
1113,叹,tàn,tan,sigh,,,嘆,
1114,狗,gǒu,gou,"dog; 猎狗 liègǒu hound; 疯狗 fēnggǒu mad dog",,,,
1115,偷,tōu,tou,"steal; 小偷 xiǎotōu thief",,,,
1116,阴,yīn,yin,"opposite of 阳 yáng; 阴沉, 阴天 cloudy; 阴暗 gloomy",,,陰,
1117,汽,qì,qi,"vapor, steam; 汽由 qìyóu gasoline; 汽车 qìchē car",,,,
1118,拜,bài,bai,"honor, worship; 礼拜 lǐbài week",,,,
1118,拜,bái,bai,"拜拜 báibai bye-bye",,,,
1119,横,héng,heng,horizontal,,,橫,
1119,横,hèng,heng,perverse,,,,
1120,鼓,gǔ,gu,"beat, play, drum, arouse",,,,
1120,鼓,gū,gu,"胖鼓鼓 pànggūgū fat, plump, full, bulging",,,,
1121,健,jiàn,jian,"健康 jiànkāng health",,,,
1122,厚,hòu,hou,"thick, deep, kind, rich (food) (compare with 薄 báo thin)",,,,
1123,签,qiān,qian,"签订 qiāndìng conclude and sign (treaty, etc); 签名 qiānmíng signature",,,簽,
1124,丹,dān,dan,"cinnabar, red; 丹田 dāntián pubic region; 丹麦 Dānmài Denmark",,,,
1125,洛,Luò,Luo,"name of a river in 河南 Hénán and 陕西 Shǎnxī",,,,
1126,喊,hǎn,han,"(=喊叫 hǎnjiào, 呼喊 hūhǎn, 叫喊 jiàohǎn) shout, cry out",,,,
1127,蓉,róng,rong,"(=城都 Chéngdū); 芙蓉 fúróng lotus, cottonrose hibiscus",,,,
1128,轮,lún,lun,wheel,,,輪,
1129,岸,àn,an,shore,,,,
1130,奶,nǎi,nai,"breasts, milk",,,,
1131,淡,dàn,dan,"thin, light; 淡蓝 dànlán (= 浅蓝 qiǎnlán) light blue",,,,
1132,潮,cháo,chao,"tide; (=潮湿 cháoshī) moist; 高潮 gāocháo climax",,,,
1133,训,xùn,xun,lesson,,,訓,
1134,圆,yuán,yuan,"round, circle; (sometimes used for 元 yuán dollar)",,,圓,
1135,卷,juǎn,juan,"roll; 春卷 spring roll (F捲)",,,,
1135,卷,juàn,juan,"volume, book, exam paper",,,,
1135,卷,quán,quan,"(=鬈 quán) curly hair",,,,
1136,释,shì,shi,"解释 jiěshì explain; 释放 shìfàng release",,,釋,
1137,诸,zhū,zhu,"all, various, <family name>",,,諸,
1138,妙,miào,miao,"wonderful, subtle; 莫名其妙 mòmíngqímiào be baffled",,,,
1139,唯,wéi,wei,"唯物主义 wéiwùzhǔyì materialism",,,,
1139,唯,wěi,wei,"<expressing acceptance of a request/command>",,,,
1140,夺,duó,duo,"force one's way; 夺取 seize, capture; 争夺 fight for",,,奪,
1141,逐,zhú,zhu,"expel, pursue, one by one; 逐渐 gradually; 逐步 step by step",,,,
1142,燕,yàn,yan,"(=燕子 yànzi) swallow (bird)",,,,
1142,燕,Yān,Yan,"<family name>",,,,
1143,呆,dāi,dai,"stupid, silly, foolish, stay; 呆板 dāibǎn stiff",,,,
1143,呆,ái,ai,"呆板 áibǎn stiff",,,,
1144,测,cè,ce,"(测量 cèliáng) survey, measure; 观测 guāncè observe",,,測,
1145,浪,làng,lang,"(=波浪 bōlàng) wave (of water); 浪费 waste",,,,
1146,抽,chōu,chou,"take out; shrink; whip; 抽烟 smoke tobacco",,,,
1147,盖,gài,gai,"cover, shell; 盖子 lid",,,蓋,
1148,偏,piān,pian,"slanting, leaning; stubbornly; unfortunately",,,,
1149,阅,yuè,yue,"experience, pass through, review; (阅读 yuèdú) read",,,閱,
1150,购,gòu,gou,"(购买 gòumǎi) purchase",,,購,
1151,途,tú,tu,"way, route; 前途 prospect; 途经 via",,,,
1152,纵,zòng,zong,"longitudinally; 操纵 cāozòng operate; 纵对 zòngduì column, file",,,縱,
1153,耶,yé,ye,"<archaic interrogative particle>, (=爷 yé) grandfather",,,,
1153,耶,Yē,Ye,"耶稣 Yēsū Jesus",,,,
1154,摸,mō,mo,"feel, stroke; 摸索 mōsuo grope; 捉摸 zhuōmō fathom",,,,
1155,挂,guà,gua,"hang, put up",,,掛,
1156,航,háng,hang,"sail, fly; 航行 hángxíng navigate; 航空 aviation",,,,
1157,择,zé,ze,"(=选择 xuǎnzé) choose",,,擇,
1157,择,zhái,zhai,choose,,,,
1158,恨,hèn,hen,hate,,,,
1159,舍,shè,she,"宿舍 sùshè dormitory",,,,
1159,舍,shě,she,"(F捨) give up, abandon; 舍不得 shěbùdé be loathe to leave at home",,,,
1160,拳,quán,quan,"box (with fists); 太极拳 tàijíquán Taiji shadowboxing",,,,
1161,竹,zhú,zhu,bamboo,,,,
1162,唐,táng,tang,"<family name>, Tang Dynasty, boastfull, exaggerated; (唐突 tángtū) rude",,,,
1163,誉,yù,yu,"praise; 荣誉 róngyù honor; 名誉 míngyù fame",,,譽,
1164,乘,chéng,cheng,"ride (a vehicle); multiply",,,,
1164,乘,shèng,sheng,chariot,,,,
1165,弱,ruò,ruo,"weak; 微弱 wēiruò faint; 软弱 ruǎnruò feeble",,,,
1166,检,jiǎn,jian,"(=检查 jiǎnchá) inspect",,,檢,
1167,宫,gōng,gong,"palace, temple, <family name>; 子宫 zǐgōng womb",,,宮,
1168,仪,yí,yi,"ceremony, rite, gift, (=仪表 yíbiǎo) appearance, bearing, (=仪器 yíqì) instrument, apparatus",,,儀,
1169,旗,qí,qi,flag,,,,
1170,含,hán,han,"keep in mouth, contain",,,,
1171,袁,Yuán,Yuan,"<family name>",,,,
1172,址,zhǐ,zhi,"foundation of a building; 地址 dìzhǐ address",,,,
1173,摆,bǎi,bai,"put, arrange, sway, wave; 摇摆舞 yáobǎiwǔ ""shake-sway-dance"", waggle dance (of bees), rock 'n' roll",,,擺,
1174,奥,ào,ao,"奥秘 àomì secret, mystery; 奥妙 àomiào profound, secret",,,奧,
1175,番,fān,fan,"<classifier for kinds, times, occurrences etc.>; 番茄 fānqié tomato",,,,
1175,番,Pān,Pan,"番禺 Pānyú county in Guǎngdōng",,,,
1176,混,hùn,hun,"mix up; 混乱 hùnluàn chaos",,,,
1176,混,hún,hun,"muddy, muddled",,,,
1177,灭,miè,mie,"extinguish; 消灭 eliminate; perish; 歼灭 annihilate",,,滅,
1178,握,wò,wo,"hold, grasp; 掌握 comprehend",,,,
1179,牙,yá,ya,"(=牙齿 yáchǐ) tooth",,,,
1180,虑,lǜ,lǜ,"(考虑 kǎolǜ) consider; 忧虑 yōulǜ worry about",,,慮,
1181,召,zhào,zhao,"召开 zhàokāi convene",,,,
1182,猛,měng,meng,fierce,,,,
1183,宽,kuān,kuan,"wide, broad, extend, relax",,,寬,
1184,盛,chéng,cheng,"fill; contain",,,,
1184,盛,shèng,sheng,"flourishing; 茂盛 luxuriant",,,,
1185,核,hé,he,"pit, nucleus; 核桃 hétao walnut",,,,
1185,核,hú,hu,"核儿 húr <colloquial> pit",,,,
1186,袋,dài,dai,"bag, pocket",,,,
1187,绍,shào,shao,"介绍 jièshào introduce",,,紹,
1188,补,bǔ,bu,mend,,,補,
1189,典,diǎn,dian,"典型 diǎnxíng typical; 古典 classical; 词典 dictionary",,,,
1190,圈,quān,quan,circle,,,,
1190,圈,juàn,juan,"pen, sty",,,,
1190,圈,juān,juan,"shut up in a pen",,,,
1191,丰,fēng,feng,"good-looking (F豐) 丰富 fēngfù abundant",,,,
1192,雅,yǎ,ya,"文雅 wényǎ cultured, refined; 雅致 yǎzhi elegant",,,,
1192,雅,yā,ya,"鸦片 yāpiàn opium",,,,
1193,吉,jí,ji,"lucky, auspicious",,,,
1194,赞,zàn,zan,"赞成 approve of; 称赞 praise",,,贊,
1195,茶,chá,cha,"tea; 茶叶 cháyè tea leaves; 红茶 hóngchá ""red tea"" = black tea",,,,
1196,亦,yì,yi,"also; 反之亦然 fǎnzhīyìrán and vice-versa",,,,
1197,谷,gǔ,gu,"(山谷) valley; (F穀) (=谷物 gǔwù) grain; 谷子 gǔzi millet",,,,
1198,稳,wěn,wen,"(稳定 wěndìng) stable, steady; 稳当 wěndang reliable",,,穩,
1199,汇,huì,hui,"(F彙) gather together; 汇报 guìbào to report; 词汇 cíhuì vocabulary; (F匯) converge, remit",,,,
1200,厉,lì,li,"厉害 lìhai terrible, formidable, <family name>",,,厲,
1200,厉,lài,lai,"name of an ancient country",,,,
1201,届,jiè,jie,"to fall due, <classifier for year of graduation, regular sessions, meetings, etc.>",,,屆,
1202,迹,jì,ji,"(=痕迹 hénjì) mark, trace, vestige; 奇迹 qíjì miracle",,,跡,
1203,雷,léi,lei,"thunder; 雷雨 thunderstorm; 雷达 radar",,,,
1204,序,xù,xu,"秩序 zhìxu order; 程序 procedure; 次序 order",,,,
1205,寒,hán,han,"(寒冷) cold",,,,
1206,附,fù,fu,"enclose, attach; 附近 fùjìn vicinity, nearby",,,,
1207,鸡,jī,ji,"chicken; 宫保鸡丁 gōngbǎo jīdīng spicy diced chicken",,,雞,
1208,遭,zāo,zao,"meet with disaster",,,,
1209,挑,tiāo,tiao,"(挑选) choose",,,,
1209,挑,tiǎo,tiao,"poke; 挑战 challenge",,,,
1209,挑,tāo,tao,"挑达 tāotà walk casually to and fro",,,,
1210,肩,jiān,jian,"(肩膀 jiānbǎng) shoulder; (肩负 jiānfù) take on",,,,
1211,忆,yì,yi,"(记忆 jìyì, 回忆 huíyì) remember, recall; memory",,,憶,
1212,柔,róu,rou,"yielding; 柔软 róuruǎn soft; 柔和 róuhe gentle",,,,
1213,戴,dài,dai,"put on; 戴眼镜 dài yǎnjìng wear glasses; 戴上帽子 dàishang màozi put on a hat",,,,
1214,惜,xī,xi,"(珍惜) cherish; 可惜 kěxī it's too bad; 不惜 bùxī not hesitate",,,,
1215,隔,gé,ge,"separate, stand between; 隔壁 next door",,,,
1216,豪,háo,hao,"(=毫不 hǎobù, =好不 hǎobù) not at all",,,,
1217,诚,chéng,cheng,"(诚实) honest",,,誠,
1218,瑞,ruì,rui,"auspicious, good omen; 瑞雪 timely snow",,,,
1219,减,jiǎn,jian,"subtract; 减少 jiǎnshǎo decrease",,,減,
1220,播,bō,bo,"sow, seed; 广播 broadcast; 传播 disseminate",,,,
1221,麼,me,me,(S么),,,,
1221,麼,mó,mo,"麽(F麼) 幺麽 yāomó petty, insignificant",,,,
1222,针,zhēn,zhen,"needle; 方针 policy; 针刺 zhēncì acupuncture",,,針,
1223,棋,qí,qi,"board game; 象棋 chess; 围棋 Go; 跳棋 Checkers",,,,
1224,竞,jìng,jing,"竞争 jìngzhēng compete; 竞赛 contest",,,競,
1225,臂,bì,bi,"(手臂 shǒubì) arm",,,,
1225,臂,bei,bei,"胳臂 gēbei arm",,,,
1226,挺,tǐng,ting,"quite, very; endure, stand; 挺立 stand upright",,,,
1227,操,cāo,cao,"conduct, grasp; 操纵 cāozòng operate",,,,
1227,操,cào,cao,"make trouble",,,,
1228,腰,yāo,yao,waist,,,,
1229,狂,kuáng,kuang,"(疯狂 fēngkuáng) crazy",,,,
1230,替,tì,ti,"in place of; (代替 dàitì) replace, substitute",,,,
1231,梅,méi,mei,"plum, prune; 梅花 plum blossom; 梅林 plum grove",,,,
1232,固,gù,gu,"巩固 gǒnggù consolidate; 固定 gùdìng fixed",,,,
1233,伦,lún,lun,"伦理 lúnlǐ ethics",,,倫,
1234,宋,Sòng,Song,"the Song dynasty (960-1279); 宋体字 Sòng tǐzì ""Song""-typeface",,,,
1235,钢,gāng,gang,"steel; 钢笔 fountain pen; 钢琴 piano",,,鋼,
1235,钢,gàng,gang,sharpen,,,,
1236,诺,nuò,nuo,"诺言 nuòyán a promise",,,諾,
1237,残,cán,can,"injure, barbarous, incomplete, remnant",,,殘,
1238,延,yán,yan,"(延长 yáncháng) prolong",,,,
1239,虎,hǔ,hu,"(老虎 lǎohǔ) tiger",,,,
1239,虎,hū,hu,"马马虎虎 mǎmahūhū",,,,
1239,虎,hù,hu,"虎不拉 hùbulǎ <zool.> shrike",,,,
1240,迅,xùn,xun,"迅速 xùnsù rapid, swift",,,,
1241,灾,zāi,zai,"(灾难 zāinàn, 灾害 zāihài) disaster",,,災,
1242,悄,qiāo,qiao,"悄悄 qiāoqiāo quietly",,,,
1242,悄,qiǎo,qiao,"悄声 qiǎoshēng quietly",,,,
1243,岳,yuè,yue,"high mountain, wife's parents, <family name>",,,,
1244,乔,qiáo,qiao,"<family name>; 乔木 qiáomù arbor",,,喬,
1245,川,chuān,chuan,"river; 四川省 Sìchānshěng Sichuan Province; 冰川 bīngchuān glacier",,,,
1246,仇,chóu,chou,"revenge, hatered, <family name>; 报仇 bàochóu get revenge",,,,
1246,仇,qiú,qiu,"mate, <family name>",,,,
1247,季,jì,ji,"(=季节 jìjié) season; 冬季 dōngjì winter; 四季 sìjì four seasons",,,,
1248,吹,chuī,chui,blow,,,,
1249,粮,liáng,liang,"(粮食 liángshi) grain, food",,,糧,
1250,聚,jù,ju,"gather, get together; 核聚变 héjùbiàn nuclear fusion",,,,
1251,译,yì,yi,"(翻译 fānyì) translate",,,譯,
1252,珠,zhū,zhu,"(珠子 zhūzi) pearl, bead; 眼珠子 eyeball; 泪珠 teardrop",,,,
1253,叔,shū,shu,"(=叔叔 shūshu) uncle, father's younger brother",,,,
1254,谋,móu,mou,"scheme; 阴谋 conspiracy",,,謀,
1255,础,chǔ,chu,"基础 jīchǔ foundation, base, basis; 础石 chǔshí plinth",,,礎,
1256,仁,rén,ren,"benevolence, humanity",,,,
1257,损,sǔn,sun,"decrease; damage; 损失 sǔnshī lose, loss",,,損,
1258,融,róng,rong,"(融化) melt (ice or snow; cf 熔 róng)",,,,
1259,辆,liàng,liang,"车辆 car; 两辆车 liǎng liàng chē two cars",,,輛,
1260,净,jìng,jing,"clean, complete; only; 干净 gānjìng clean",,,凈,
1261,敏,mǐn,min,"敏捷 mǐnjié agile; 敏感 mǐngǎn sensitive; 敏锐 mǐnruì acute",,,,
1262,伊,yī,yi,"<family name>, he or she; 伊斯兰 Yīsīlán Islam",,,,
1263,仙,xiān,xian,"fairy, saint, immortal celestial being; 仙女 fairy maiden",,,,
1264,巧,qiǎo,qiao,"clever, coincidentally; 巧妙 qiǎomiào ingenious",,,,
1265,零,líng,ling,"zero; 零件 língjiàn spare part; 零钱 spare change",,,,
1265,零,līng,ling,"孤零零 gūlīnglīng solitary, all alone; 丁零零 dīnglīnglīng tinkle, jingle",,,,
1266,累,lèi,lei,"tired; work hard",,,,
1266,累,lěi,lei,"积累 accumulate",,,,
1266,累,léi,lei,(F纍),,,,
1267,享,xiǎng,xiang,"(=享受 xiǎngshòu) enjoy (compare with 亨 hēng)",,,,
1268,伴,bàn,ban,"accompany; 伙伴, 同伴 companion",,,,
1269,荡,dàng,dang,"swing, sway; loaf about; 扫荡 wipe out; 震荡 shake",,,蕩,
1270,珍,zhēn,zhen,"(珍宝) treasure: 珍珠 pearl; 珍贵 precious",,,,
1271,勇,yǒng,yong,"勇敢 yǒnggǎn brave; 勇气 courage; 勇士 brave warrior",,,,
1272,末,mò,mo,"end, minor details; 末儿 mòr powder; 周末 zhōumò weekend",,,,
1272,末,me,me,"(=么 me); 什末 shénme what?",,,,
1273,奋,fèn,fen,"奋斗 fèndòu struggle; 兴奋 xīngfèn excited",,,奮,
1274,胆,dǎn,dan,"gallbladder, guts, bravery, internal parts",,,膽,
1275,弃,qì,qi,"(放弃 fàngqì, 抛弃 pāoqì) abandon, give up",,,棄,
1276,烦,fán,fan,"be vexed; 麻烦 máfan trouble, bother; 不耐烦 bú nàifán impatient",,,煩,
1277,糊,hú,hu,"paste; 糊涂 hútu muddled",,,,
1277,糊,hū,hu,plaster,,,,
1277,糊,hù,hu,paste,,,,
1278,犹,yóu,you,"still, yet; 犹豫 yóuyù hesitate; 犹如 yóurú as if",,,猶,
1279,税,shuì,shui,tax,,,稅,
1280,培,péi,pei,"培养 foster, train, develop; 培育 cultivate, breed",,,,
1281,抵,dǐ,di,"support; (抵抗 dǐkàng) resist",,,,
1282,僧,sēng,seng,monk,,,,
1283,锋,fēng,feng,"锋利 sharp; 冲锋 charge, assault; 先锋 vanguard",,,鋒,
1284,乃,nǎi,nai,"be, so, only then, you",,,,
1285,遥,yáo,yao,"distant, remote; long",,,遙,
1286,摩,mó,mo,"按摩 ànmó massage; 摩擦 mócā rub; friction",,,,
1286,摩,mā,ma,"摩挲 māsa gently stroke, smooth rub, massage",,,,
1287,坦,tǎn,tan,"平坦 level; 坦然 calm; 坦克 tank",,,,
1288,後(S后),hòu,hou,after,,,,
1289,眉,méi,mei,"eyelash; 眉头 brows; 眉毛 eyebrow; 眉目 looks",,,,
1290,餐,cān,can,meal,,,,
1291,惯,guàn,guan,"be used to; 习惯 xíguàn be used to, habit, custom",,,慣,
1292,凭,píng,ping,"lean on, based on, (= 不论 búlùn) no matter",,,憑,
1293,冠,guān,guan,"hat, crown",,,,
1293,冠,guàn,guan,"first place; 冠军 guànjūn champion",,,,
1294,抬,tái,tai,"lift, raise, carry",,,,
1295,碰,pèng,peng,"bump into; 碰见 happen to meet",,,,
1296,币,bì,bi,"money, currency; 硬币 coin; 人民币 rénmínbì RMB.",,,幣,
1297,启,qǐ,qi,"open; start; enlighten; 启发 arouse, inspire",,,啟,
1298,码,mǎ,ma,"<classifier for cloth, happenings, etc.>; 两码事 liǎng mǎ shì two entirely differeint things/matters; 码头 mǎtou wharf, dock; 号码 hàomǎ (serial) number, code",,,碼,
1299,冒,mào,mao,"emit, risk, pretend to be, <family name>; 感冒 catch a cold",,,,
1300,汗,hàn,han,"(汗水 hànshuǐ) sweat, perspiration",,,,
1300,汗,hán,han,"可汗 kèhán",,,,
1301,俗,sú,su,"common, rustic, vulgar, custom; 俗话 proverb, saying",,,,
1302,灰,huī,hui,"ash, dust, grey, disheartened",,,,
1303,督,dū,du,"监督 jiāndū supervise",,,,
1304,穷,qióng,qiong,"poor; 无穷 wúqióng infinite",,,窮,
1305,颇,pō,po,"quite, rather",,,頗,
1306,倾,qīng,qing,"lean; 倾向 tendency, prefer; 倾斜 slant",,,傾,
1307,尖,jiān,jian,"point, tip; 尖锐 jiānruì sharp",,,,
1308,韩,Hán,Han,"<family name>; (old name for Korea)",,,韓,
1309,贸,mào,mao,"贸易 màoyì trade",,,貿,
1310,仿,fǎng,fang,"resemble, be like, (=模仿 mófǎng) imitate, copy; 仿佛 seem; 仿造 copy",,,,
1311,孤,gū,gu,"alone; 孤儿 orphan; 孤立 isolated; 孤独 lonely",,,,
1312,飘,piāo,piao,"float in the air, flutter; 飘扬 flutter, wave",,,飄,
1313,漫,màn,man,"overflow; 漫长 endless; 浪漫 làngmàn <loan> romantic",,,,
1314,予,yǔ,yu,"(=予以 yǔyǐ, =给予 jǐyǔ) give, grant",,,,
1314,予,yú,yu,"<archaic> (=吾 wú) I, me",,,,
1315,紫,zǐ,zi,"purple, violet",,,,
1316,侧,cè,ce,side,,,側,
1316,侧,zhāi,zhai,"侧歪 zhāiwai slant",,,,
1317,沿,yán,yan,"along; 沿海 yánhǎi coastal; 沿儿 yánr water's edge",,,,
1318,拔,bá,ba,"raise, pull; 提拔 promote; 海拔 elevation",,,,
1319,袖,xiù,xiu,"(袖子) sleeve; 领袖 leader; 袖珍 pocket-sized; 短袖 duǎnxiù T-shirt",,,,
1320,梁,liáng,liang,"bridge, roof beam; 桥梁 bridge; 脊梁骨 backbone",,,,
1321,赏,shǎng,shang,"reward, admire; 欣赏 xīnshǎng enjoy, appreciate",,,賞,
1322,幕,mù,mu,"curtain; act (of play); 屏幕 píngmù screen",,,,
1323,壁,bì,bi,"wall, cliff; 墙壁 qiángbì wall (la pared)",,,,
1324,旦,dàn,dan,"<archaic> dawn; 一旦 in one day; once; 元旦 New Year's Day",,,,
1325,晨,chén,chen,"(早晨 zǎochen) morning",,,,
1326,纯,chún,chun,"(纯洁 chúnjié) pure; (单纯 dānchún) simple",,,純,
1327,闭,bì,bi,shut,,,閉,
1328,凉,liáng,liang,"cool, cold",,,涼,
1328,凉,liàng,liang,"make cool",,,,
1329,扫,sǎo,sao,"sweep; 打扫 dǎsǎo clean up",,,掃,
1329,扫,sào,sao,"扫帚 sàozhou broom",,,,
1330,尤,yóu,you,"fault; outstanding; 尤其 yóuqí especially",,,,
1331,炮,pào,pao,"cannon; 炮弹 shell",,,,
1331,炮,bāo,bao,quick-fry,,,,
1331,炮,páo,pao,"炮制 concoct",,,,
1332,碗,wǎn,wan,bowl,,,,
1333,贴,tiē,tie,"stick, paste, glue, stay close to",,,貼,
1334,插,chā,cha,"insert, stick in; 插头 plug",,,,
1335,滚,gǔn,gun,"roll, boil",,,滾,
1336,缘,yuán,yuan,"缘故 cause, reason; 边缘 edge; 绝缘 insulate",,,緣,
1337,寺,sì,si,"temple, Buddhist monastery",,,,
1338,贝,bèi,bei,"shellfish; cowrie; (money); 贝壳 bèiké shell",,,貝,
1339,润,rùn,run,"湿润 shīrùn moist; 利润 lìrùn profit; 润滑 rùnhuá lubricate",,,潤,
1340,氏,shì,shi,"surname, family name, (=氏族 shìzú) clan",,,,
1340,氏,zhī,zhi,"月氏 Yuèzhī Indo-Scyths (nomadic people in Central Asia)",,,,
1341,冬,dōng,dong,"(=冬天 dōngtiān, =冬季 dōngjì) winter; 冬眠 dōngmián hibernation; 春夏秋冬 chūnxiàqiūdōng the four seasons",,,,
1342,扩,kuò,kuo,"扩大 kuòdà enlarge, expand",,,擴,
1343,栏,lán,lan,"fence, railing",,,欄,
1344,荒,huāng,huang,"desolate, wasteland, famine; 荒谬 huāngmiù absurd",,,,
1345,哲,zhé,zhe,"哲学 zhéxué philosophy",,,,
1346,逼,bī,bi,"force, compel; close in on",,,,
1347,吓,xià,xia,"frighten, scare",,,嚇,
1347,吓,hè,he,"(=恐吓 kǒnghè) threaten, <interj.>",,,,
1348,堆,duī,dui,"pile, heap",,,,
1348,堆,zuī,zui,"归里包堆 guīlibāozuī altogether, all in all",,,,
1349,撞,zhuàng,zhuang,"collide, run into",,,,
1350,郎,láng,lang,"young man; 新郎 bridegroom. <family name>",,,,
1350,郎,làng,lang,屎壳郎,,,,
1351,俩,liǎ,lia,"two, both; 我们俩 wǒmen liǎ the two of us",,,倆,
1351,俩,liǎng,liang,"伎俩 jìliǎng trick, intrigue, maneuver, skill, dexterity, craft",,,,
1352,蓝,lán,lan,"(蓝色) blue",,,藍,
1353,闲,xián,xian,"idle, free time; 闲话 digression, complaint",,,閑,
1354,辛,xīn,xin,"suffering; 辛苦 xīnkǔ work hard",,,,
1355,镜,jìng,jing,"(=镜子 jìngzi) mirror, lens; 眼镜 yǎnjìng glasses",,,鏡,
1356,陪,péi,pei,"(=陪同 péitóng) accompany; 陪嫁 péijià dowry",,,,
1357,骑,qí,qi,"ride (horse/bike)",,,騎,
1357,骑,jì,ji,"乘骑 chéngjì saddle horse; rider",,,,
1358,蛋,dàn,dan,"egg; 鸡蛋 chicken egg; 蛋白质 protein",,,,
1359,促,cù,cu,"urge; urgent; 促进 cùjìn promote; 促使 cùshǐ impel, urge",,,,
1360,羊,yáng,yang,"sheep; 山羊 shānyáng goat; 羊年 yángnián year of the Sheep = 8th year",,,,
1361,宜,yí,yi,"(=适宜 shìyí) suitable",,,,
1361,宜,yi,yi,"便宜 piányi cheap",,,,
1362,嘛,ma,ma,"<particle for persuation>",,,,
1362,嘛,má,ma,"<interrogative particle> (=吗 ma)",,,,
1363,颜,yán,yan,"颜色 yánsè colour; 颜面 yánmiàn face",,,顏,
1364,贫,pín,pin,"(=贫苦 pínkù, =贫穷 píngqióng) poor",,,貧,
1365,幅,fú,fu,"width of cloth, size, <classifier for cloth, paintings etc.>; 一幅画 a picture",,,,
1366,驻,zhù,zhu,"stay, halt, be stationed",,,駐,
1367,萍,píng,ping,"(=浮萍 fúpíng) duckweed",,,,
1368,污,wū,wu,"foul; 污染 wūrǎn pollution",,,,
1369,杰,jié,jie,"杰出 outstanding; 杰作 masterpiece",,,傑,
1370,扑,pū,pu,"pounce on; flap wings; 扑灭 pūmiè extinguish; 扑克 pūkè <loan> Poker",,,撲,
1371,壮,zhuàng,zhuang,"robust, magnificent; 壮丽 majestic; 壮族",,,壯,
1372,萨,sà,sa,"菩萨 púsà bodhisattva, benevolent being, <family name>",,,薩,
1373,刑,xíng,xing,punishment,,,,
1374,忧,yōu,you,"worry, grieve; 忧郁 yōuyù sad; 忧虑 worry about",,,憂,
1375,貌,mào,mao,"(面貌) appearance; 礼貌 polite",,,,
1376,狱,yù,yu,"lawsuit; (监狱 jiānyù) prison, jail",,,獄,
1377,塞,sāi,sai,"fill in, stuff, cork",,,,
1377,塞,sè,se,"(=堵塞 dǔsè) block up, obstruct",,,,
1377,塞,sài,sai,"place of strategic importance, border pass",,,,
1378,凤,fèng,feng,"male phoenix (fabulous bird of good omen)",,,鳳,
1379,孔,kǒng,kong,"hole; 孔子 Kǒngzǐ Confucius; 面孔 miànkǒng face",,,,
1380,触,chù,chu,"touch; 接触 jiēchù get in touch; 触角 antenna",,,觸,
1381,恋,liàn,lian,"恋爱 love (as in love affair)",,,戀,
1382,岂,qǐ,qi,"(rhetorical adverb); 岂有此理 qǐyǒucǐlǐ What kind of reasoning is that?, Nonsence!",,,豈,
1383,森,sēn,sen,"(=森林 sēnlín) forest",,,,
1384,繁,fán,fan,"numerous; 繁殖 fánzhí breed; 繁荣 flourishing; 繁体字 fán tǐzì full forms of simplified characters",,,,
1385,碎,suì,sui,"smash to pieces",,,,
1386,津,jīn,jin,"ferry crossing, ford, saliva, sweat, moist, damp; 津津有味 jīnjīnyǒuwèi (to do someting) with pleasure, to be appetizing",,,,
1387,侠,xiá,xia,"侠客 xiákè chivalrous warrior; 侠义 chivalrous",,,俠,
1388,隆,lóng,long,"隆重 lóngzhòng grand; 隆起 lóngqǐ swell",,,,
1388,隆,lōng,long,"轰隆隆 hōnglōnglōng tumble, roll",,,,
1389,迟,chí,chi,"tardy; 迟到 arrive late; 迟疑 hesitate; 推迟 put off",,,遲,
1389,迟,zhì,zhi,"迟旦 zhìdàn dawn, daybreak",,,,
1390,辉,huī,hui,"shine; 光辉 radiance, glory; 辉煌 huīhuáng brilliant",,,輝,
1391,狠,hěn,hen,ruthless,,,,
1392,析,xī,xi,"分析 fēnxī analyse",,,,
1393,缩,suō,suo,shrink,,,縮,
1394,穴,xué,xue,"cave, hole, den, grave, acupuncture point",,,,
1395,萧,xiāo,xiao,desolate,,,蕭,
1396,怨,yuàn,yuan,"resentment, complain",,,,
1397,磨,mó,mo,"rub, wear down",,,,
1397,磨,mò,mo,"mill, grind(stone)",,,,
1398,伏,fú,fu,"bend over, subside; 伏天 hot summer days; 起伏 rise and fall",,,,
1399,辞,cí,ci,"take leave; diction, poetry, language",,,辭,
1400,泥,ní,ni,"mud; 泥土 soil",,,,
1400,泥,nì,ni,putty,,,,
1401,龄,líng,ling,"(年龄) age; duration",,,齡,
1402,径,jìng,jing,"path, way; (直径 zhíjìng) diameter; 途径 tújìng channel, way, through",,,徑,
1403,鼻,bí,bi,"(=鼻子 bízi) nose; 鼻孔 bíkǒng nostril",,,,
1404,赖,lài,lai,"rely; hang around; blame falsely; deny error",,,賴,
1405,仰,yǎng,yang,"face upward; 信仰 xìnyǎng (religious) faith",,,,
1406,愤,fèn,fen,"(=气愤 qìfèn, =愤怒 fènnù) angry",,,憤,
1407,慕,mù,mu,"羡慕 xiànmù envy; admire; 爱慕 àimù adore",,,,
1408,俄,é,e,"very soon, suddenly; 俄国 ?guó Russia",,,,
